timestamp,region,temperature_celsius,wind_speed_ms,cloud_cover_percent,precipitation_mm
2024-01-08 00:00:00,Tampere,5.0,8.1,74.1,3.8
2024-01-08 00:00:00,Oslo,-2.3,2.0,79.6,3.5
2024-01-08 00:00:00,Aarhus,-6.5,9.2,36.6,2.5
2024-01-08 00:00:00,Stockholm,3.3,9.6,15.7,3.9
2024-01-08 01:00:00,Malmo,-2.8,5.9,77.8,0.1
2024-01-08 01:00:00,Aarhus,-3.1,6.5,21.5,0.2
2024-01-08 01:00:00,Tampere,-7.2,14.0,48.5,0.1
2024-01-08 01:00:00,Gothenburg,-3.9,14.1,12.6,2.7
2024-01-08 02:00:00,Copenhagen,-5.1,2.9,61.6,3.8
2024-01-08 02:00:00,Copenhagen,2.8,6.8,73.4,1.7
2024-01-08 02:00:00,Oslo,3.0,6.4,81.5,4.2
2024-01-08 03:00:00,Bergen,-8.6,5.3,80.4,5.0
2024-01-08 03:00:00,Tampere,3.2,17.1,29.2,2.3
2024-01-08 03:00:00,Bergen,-1.1,5.0,28.3,1.8
2024-01-08 03:00:00,Oslo,0.2,13.4,17.6,0.6
2024-01-08 04:00:00,Tampere,-0.9,3.1,69.0,1.6
2024-01-08 04:00:00,Helsinki,1.0,7.4,21.0,4.7
2024-01-08 04:00:00,Oslo,-8.6,17.5,60.2,1.7
2024-01-08 04:00:00,Malmo,-3.0,12.1,89.4,2.1
2024-01-08 05:00:00,Copenhagen,5.0,2.6,11.4,4.6
2024-01-08 05:00:00,Oslo,0.0,12.5,52.7,0.8
2024-01-08 05:00:00,Turku,-2.4,7.2,53.1,4.6
2024-01-08 05:00:00,Stockholm,-1.7,9.4,73.7,2.1
2024-01-08 06:00:00,Aarhus,-7.2,16.6,25.0,0.9
2024-01-08 06:00:00,Aarhus,3.5,10.7,29.6,0.5
2024-01-08 06:00:00,Copenhagen,0.5,12.1,94.5,3.2
2024-01-08 07:00:00,Turku,3.6,5.1,54.2,0.6
2024-01-08 07:00:00,Turku,-9.0,16.1,63.8,1.3
2024-01-08 07:00:00,Tampere,-6.5,16.9,90.0,4.5
2024-01-08 07:00:00,Oslo,0.4,2.5,19.3,1.6
2024-01-08 08:00:00,Bergen,-9.4,10.3,51.5,3.9
2024-01-08 08:00:00,Aarhus,-3.1,6.7,13.4,0.5
2024-01-08 08:00:00,Copenhagen,2.0,13.1,17.0,2.8
2024-01-08 09:00:00,Gothenburg,0.8,15.3,42.2,4.3
2024-01-08 09:00:00,Uppsala,-5.0,15.4,33.8,4.1
2024-01-08 09:00:00,Gothenburg,3.9,8.3,34.3,0.9
2024-01-08 10:00:00,Turku,4.3,8.4,71.9,3.6
2024-01-08 10:00:00,Tampere,-2.2,5.8,22.2,1.5
2024-01-08 10:00:00,Bergen,3.1,10.8,15.2,3.3
2024-01-08 10:00:00,Turku,-8.7,12.5,33.4,4.3
2024-01-08 11:00:00,Stockholm,-8.7,9.2,22.9,0.2
2024-01-08 11:00:00,Malmo,0.8,8.5,25.1,1.7
2024-01-08 11:00:00,Oslo,-1.5,3.5,26.8,1.1
2024-01-08 11:00:00,Copenhagen,-9.5,8.1,23.2,4.8
2024-01-08 12:00:00,Copenhagen,0.1,2.6,53.3,3.7
2024-01-08 12:00:00,Helsinki,0.3,15.2,81.8,2.2
2024-01-08 12:00:00,Copenhagen,-2.1,2.7,92.1,0.0
2024-01-08 12:00:00,Uppsala,-8.8,16.3,23.3,3.3
2024-01-08 13:00:00,Stockholm,0.3,12.9,13.4,0.8
2024-01-08 13:00:00,Stockholm,0.9,7.9,40.2,0.5
2024-01-08 13:00:00,Tampere,3.1,2.2,67.8,2.7
2024-01-08 13:00:00,Helsinki,2.1,9.3,58.7,2.5
2024-01-08 14:00:00,Malmo,4.2,5.3,87.0,4.7
2024-01-08 14:00:00,Malmo,-8.8,2.2,54.1,4.4
2024-01-08 14:00:00,Oslo,-0.5,16.5,12.0,4.6
2024-01-08 15:00:00,Copenhagen,-6.8,8.6,46.0,0.8
2024-01-08 15:00:00,Gothenburg,5.0,11.6,52.7,1.9
2024-01-08 15:00:00,Gothenburg,-5.2,7.3,90.9,1.1
2024-01-08 16:00:00,Oslo,-9.2,11.0,18.4,4.9
2024-01-08 16:00:00,Turku,4.4,7.8,63.1,2.6
2024-01-08 16:00:00,Gothenburg,-1.8,13.1,19.6,4.4
2024-01-08 17:00:00,Tampere,-5.3,13.5,35.1,2.5
2024-01-08 17:00:00,Oslo,-4.6,15.0,52.0,3.5
2024-01-08 17:00:00,Bergen,-6.3,6.3,72.2,4.8
2024-01-08 18:00:00,Turku,-0.3,5.2,56.9,2.9
2024-01-08 18:00:00,Stockholm,-5.6,6.3,17.2,3.0
2024-01-08 18:00:00,Stockholm,0.6,4.0,93.4,2.6
2024-01-08 18:00:00,Aarhus,0.9,11.7,16.4,3.6
2024-01-08 19:00:00,Gothenburg,-4.8,6.3,31.8,0.3
2024-01-08 19:00:00,Tampere,0.4,7.4,24.9,2.2
2024-01-08 19:00:00,Oslo,1.0,7.1,47.6,4.2
2024-01-08 19:00:00,Turku,0.2,4.7,27.8,2.3
2024-01-08 20:00:00,Turku,3.2,17.4,82.5,3.0
2024-01-08 20:00:00,Uppsala,-0.9,6.9,76.5,4.3
2024-01-08 20:00:00,Tampere,-6.6,7.4,76.6,1.6
2024-01-08 21:00:00,Stockholm,-5.3,15.7,10.8,1.2
2024-01-08 21:00:00,Oslo,-5.2,18.0,47.2,4.7
2024-01-08 21:00:00,Tampere,3.3,8.9,29.1,3.2
2024-01-08 22:00:00,Tampere,-3.3,16.9,58.8,2.5
2024-01-08 22:00:00,Helsinki,-9.5,5.5,76.9,4.3
2024-01-08 22:00:00,Turku,-0.6,3.8,49.2,2.5
2024-01-08 22:00:00,Malmo,3.5,4.8,46.1,3.5
2024-01-08 23:00:00,Stockholm,-3.9,11.4,52.8,0.2
2024-01-08 23:00:00,Gothenburg,1.5,4.5,45.2,1.7
